source,relation,target,target_type
Hypertension,managed_by,Dermatologist,specialist
Angina,treated_by,ACE Inhibitors,treatment
Influenza,diagnosed_by,CT Scan,diagnostic_test
Chest Pain,indicates,Arthritis,disease
Bronchitis,diagnosed_by,CT Scan,diagnostic_test
Pneumonia,managed_by,Neurologist,specialist
Beta Blockers,prescribed_by,Rheumatologist,specialist
Migraine,causes,Sore Throat,symptom
NSAIDs,prescribed_by,Cardiologist,specialist
Influenza,associated_with,Conjunctivitis,disease
Bronchitis,causes,Fever,symptom
COVID-19,managed_by,Endocrinologist,specialist
Arthritis,diagnosed_by,Urinalysis,diagnostic_test
Sore Throat,indicates,Bronchitis,disease
Cough,indicates,Influenza,disease
Nitroglycerin,prescribed_by,General Practitioner,specialist
Pain Relievers,prescribed_by,Dermatologist,specialist
COVID-19,managed_by,Infectious Disease Specialist,specialist
Joint Pain,indicates,Migraine,disease
Arthritis,diagnosed_by,CT Scan,diagnostic_test
COVID-19,associated_with,Tuberculosis,disease
Diabetes,managed_by,Neurologist,specialist
COVID-19,diagnosed_by,Blood Test,diagnostic_test
Conjunctivitis,causes,Headache,symptom
Hypertension,treated_by,Antibiotics,treatment
Nitroglycerin,prescribed_by,Rheumatologist,specialist
Arthritis,diagnosed_by,MRI,diagnostic_test
Diabetes,causes,Cough,symptom
Diabetes,managed_by,Neurologist,specialist
Conjunctivitis,managed_by,General Practitioner,specialist
Diabetes,treated_by,Antivirals,treatment
Migraine,diagnosed_by,X-Ray,diagnostic_test
Shortness of Breath,indicates,Hypertension,disease
Diabetes,managed_by,General Practitioner,specialist
Tuberculosis,associated_with,Migraine,disease
Nausea,indicates,Angina,disease
Bronchitis,diagnosed_by,ECG,diagnostic_test
Influenza,diagnosed_by,ECG,diagnostic_test
Nausea,indicates,Bronchitis,disease
Angina,associated_with,Angina,disease
Arthritis,treated_by,Beta Blockers,treatment
Influenza,treated_by,Pain Relievers,treatment
COVID-19,diagnosed_by,ECG,diagnostic_test
Corticosteroids,prescribed_by,Dermatologist,specialist
Antivirals,prescribed_by,Dermatologist,specialist
Diabetes,causes,Fever,symptom
Migraine,treated_by,Antivirals,treatment
Pneumonia,managed_by,Pulmonologist,specialist
Hypertension,managed_by,Dermatologist,specialist
Migraine,associated_with,Asthma,disease
Dizziness,indicates,Migraine,disease
Pneumonia,treated_by,Antibiotics,treatment
Hypertension,associated_with,Conjunctivitis,disease
Bronchitis,causes,Blurred Vision,symptom
Arthritis,associated_with,Bronchitis,disease
Asthma,diagnosed_by,CT Scan,diagnostic_test
Angina,associated_with,Angina,disease
Influenza,managed_by,Ophthalmologist,specialist
Eye Drops,prescribed_by,Ophthalmologist,specialist
NSAIDs,prescribed_by,Dermatologist,specialist
Influenza,managed_by,Ophthalmologist,specialist
Cough,indicates,Asthma,disease
Headache,indicates,Migraine,disease
Angina,managed_by,Neurologist,specialist
Inhalers,prescribed_by,Rheumatologist,specialist
Antivirals,prescribed_by,Cardiologist,specialist
Asthma,associated_with,Bronchitis,disease
Bronchitis,causes,Joint Pain,symptom
Insulin,prescribed_by,Endocrinologist,specialist
Diabetes,causes,Headache,symptom
COVID-19,treated_by,Nitroglycerin,treatment
Antivirals,prescribed_by,Pulmonologist,specialist
Influenza,managed_by,Ophthalmologist,specialist
ACE Inhibitors,prescribed_by,Pulmonologist,specialist
Pain Relievers,prescribed_by,Dermatologist,specialist
Asthma,treated_by,ACE Inhibitors,treatment
Dizziness,indicates,Influenza,disease
Nausea,indicates,Tuberculosis,disease
Hypertension,diagnosed_by,X-Ray,diagnostic_test
Tuberculosis,managed_by,Cardiologist,specialist
Rash,indicates,Tuberculosis,disease
Migraine,treated_by,NSAIDs,treatment
COVID-19,managed_by,Neurologist,specialist
Joint Pain,indicates,Asthma,disease
Diabetes,treated_by,Antivirals,treatment
Joint Pain,indicates,Migraine,disease
Arthritis,treated_by,Eye Drops,treatment
Conjunctivitis,treated_by,Beta Blockers,treatment
Influenza,treated_by,IV Fluids,treatment
Migraine,managed_by,Rheumatologist,specialist
Diabetes,associated_with,Angina,disease
Insulin,prescribed_by,Neurologist,specialist
Antivirals,prescribed_by,Endocrinologist,specialist
Diabetes,causes,Fatigue,symptom
IV Fluids,prescribed_by,Rheumatologist,specialist
Inhalers,prescribed_by,Endocrinologist,specialist
Bronchitis,managed_by,General Practitioner,specialist
Influenza,treated_by,ACE Inhibitors,treatment
Fever,indicates,Pneumonia,disease
Arthritis,associated_with,Hypertension,disease
Diabetes,managed_by,Pulmonologist,specialist
Influenza,diagnosed_by,Blood Test,diagnostic_test
Fatigue,indicates,Hypertension,disease
Migraine,treated_by,Insulin,treatment
Migraine,causes,Nausea,symptom
Sore Throat,indicates,Angina,disease
Sore Throat,indicates,Diabetes,disease
Pain Relievers,prescribed_by,Endocrinologist,specialist
Shortness of Breath,indicates,Pneumonia,disease
Corticosteroids,prescribed_by,Endocrinologist,specialist
Asthma,managed_by,General Practitioner,specialist
COVID-19,causes,Sore Throat,symptom
Arthritis,causes,Joint Pain,symptom
Bronchitis,associated_with,Diabetes,disease
Antibiotics,prescribed_by,Cardiologist,specialist
Tuberculosis,diagnosed_by,Urinalysis,diagnostic_test
Hypertension,managed_by,Ophthalmologist,specialist
Tuberculosis,managed_by,Cardiologist,specialist
Diabetes,managed_by,Infectious Disease Specialist,specialist
Asthma,associated_with,Conjunctivitis,disease
Tuberculosis,causes,Shortness of Breath,symptom
Tuberculosis,causes,Cough,symptom
Antibiotics,prescribed_by,Ophthalmologist,specialist
Migraine,causes,Chest Pain,symptom
Antibiotics,prescribed_by,Infectious Disease Specialist,specialist
Shortness of Breath,indicates,Hypertension,disease
Conjunctivitis,treated_by,NSAIDs,treatment
Tuberculosis,treated_by,Pain Relievers,treatment
IV Fluids,prescribed_by,Neurologist,specialist
Diabetes,associated_with,Influenza,disease
Migraine,associated_with,Diabetes,disease
Tuberculosis,diagnosed_by,X-Ray,diagnostic_test
Asthma,diagnosed_by,MRI,diagnostic_test
Migraine,treated_by,Corticosteroids,treatment
Conjunctivitis,associated_with,Influenza,disease
Inhalers,prescribed_by,Infectious Disease Specialist,specialist
Angina,causes,Rash,symptom
Influenza,treated_by,ACE Inhibitors,treatment
Bronchitis,associated_with,Bronchitis,disease
Conjunctivitis,managed_by,Rheumatologist,specialist
Influenza,diagnosed_by,ECG,diagnostic_test
Tuberculosis,managed_by,Pulmonologist,specialist
Hypertension,causes,Nausea,symptom
Insulin,prescribed_by,Cardiologist,specialist
Migraine,treated_by,Inhalers,treatment
Angina,associated_with,Diabetes,disease
Arthritis,causes,Joint Pain,symptom
Pneumonia,managed_by,Ophthalmologist,specialist
Influenza,diagnosed_by,ECG,diagnostic_test
Fever,indicates,Bronchitis,disease
Migraine,diagnosed_by,X-Ray,diagnostic_test
Angina,causes,Fatigue,symptom
Migraine,treated_by,Corticosteroids,treatment
Shortness of Breath,indicates,Tuberculosis,disease
Influenza,causes,Dizziness,symptom
Conjunctivitis,causes,Fatigue,symptom
Asthma,associated_with,Tuberculosis,disease
Migraine,associated_with,Hypertension,disease
Asthma,treated_by,Beta Blockers,treatment
COVID-19,associated_with,Migraine,disease
Angina,managed_by,Neurologist,specialist
Tuberculosis,managed_by,Endocrinologist,specialist
Angina,managed_by,Cardiologist,specialist
Nitroglycerin,prescribed_by,Endocrinologist,specialist
COVID-19,treated_by,Antivirals,treatment
Pneumonia,diagnosed_by,X-Ray,diagnostic_test
Diabetes,associated_with,Asthma,disease
Influenza,diagnosed_by,CT Scan,diagnostic_test
Angina,associated_with,COVID-19,disease
Arthritis,diagnosed_by,MRI,diagnostic_test
Conjunctivitis,managed_by,Ophthalmologist,specialist
Nitroglycerin,prescribed_by,Endocrinologist,specialist
Asthma,associated_with,Diabetes,disease
Shortness of Breath,indicates,Migraine,disease
Diabetes,treated_by,Inhalers,treatment
Bronchitis,associated_with,Conjunctivitis,disease
Angina,associated_with,Migraine,disease
Bronchitis,treated_by,Antibiotics,treatment
Joint Pain,indicates,Diabetes,disease
Asthma,associated_with,Tuberculosis,disease
Tuberculosis,managed_by,Pulmonologist,specialist
Hypertension,causes,Fever,symptom
Hypertension,associated_with,Hypertension,disease
Diabetes,causes,Rash,symptom
Hypertension,associated_with,Influenza,disease
Arthritis,associated_with,Influenza,disease
Conjunctivitis,treated_by,Corticosteroids,treatment
Influenza,associated_with,Conjunctivitis,disease
Bronchitis,treated_by,NSAIDs,treatment
Migraine,managed_by,Infectious Disease Specialist,specialist
Influenza,diagnosed_by,X-Ray,diagnostic_test
Asthma,associated_with,Angina,disease
Nausea,indicates,Conjunctivitis,disease
Diabetes,treated_by,Beta Blockers,treatment
Pneumonia,associated_with,Pneumonia,disease
Diabetes,diagnosed_by,CT Scan,diagnostic_test
Joint Pain,indicates,Bronchitis,disease
Shortness of Breath,indicates,Bronchitis,disease
Fatigue,indicates,Pneumonia,disease
Conjunctivitis,treated_by,IV Fluids,treatment
Shortness of Breath,indicates,COVID-19,disease
Migraine,diagnosed_by,X-Ray,diagnostic_test
Hypertension,causes,Shortness of Breath,symptom
Asthma,treated_by,Antibiotics,treatment
Diabetes,managed_by,Ophthalmologist,specialist
COVID-19,diagnosed_by,X-Ray,diagnostic_test
Shortness of Breath,indicates,Influenza,disease
Joint Pain,indicates,Asthma,disease
Arthritis,associated_with,Pneumonia,disease
Sore Throat,indicates,Migraine,disease
Migraine,causes,Headache,symptom
Nausea,indicates,COVID-19,disease
Blurred Vision,indicates,Bronchitis,disease
Influenza,managed_by,General Practitioner,specialist
Dizziness,indicates,Asthma,disease
Dizziness,indicates,Arthritis,disease
Pain Relievers,prescribed_by,General Practitioner,specialist
Corticosteroids,prescribed_by,Pulmonologist,specialist
Chest Pain,indicates,Arthritis,disease
Angina,managed_by,Neurologist,specialist
Migraine,managed_by,General Practitioner,specialist
Blurred Vision,indicates,Conjunctivitis,disease
Corticosteroids,prescribed_by,Ophthalmologist,specialist
Migraine,causes,Fever,symptom
Hypertension,associated_with,COVID-19,disease
Diabetes,managed_by,Dermatologist,specialist
COVID-19,causes,Fever,symptom
Pneumonia,associated_with,Arthritis,disease
Conjunctivitis,treated_by,IV Fluids,treatment
Arthritis,associated_with,Bronchitis,disease
Bronchitis,causes,Nausea,symptom
NSAIDs,prescribed_by,Cardiologist,specialist
Pain Relievers,prescribed_by,General Practitioner,specialist
Blurred Vision,indicates,COVID-19,disease
Angina,diagnosed_by,MRI,diagnostic_test
Headache,indicates,Angina,disease
Arthritis,diagnosed_by,ECG,diagnostic_test
Pneumonia,treated_by,ACE Inhibitors,treatment
Cough,indicates,Conjunctivitis,disease
Shortness of Breath,indicates,COVID-19,disease
Migraine,diagnosed_by,CT Scan,diagnostic_test
Angina,causes,Fever,symptom
Pneumonia,associated_with,Tuberculosis,disease
Bronchitis,associated_with,Asthma,disease
Cough,indicates,Arthritis,disease
Conjunctivitis,associated_with,Conjunctivitis,disease
Diabetes,causes,Chest Pain,symptom
Shortness of Breath,indicates,Tuberculosis,disease
Influenza,treated_by,ACE Inhibitors,treatment
Angina,associated_with,Asthma,disease
Diabetes,diagnosed_by,MRI,diagnostic_test
Fatigue,indicates,Influenza,disease
Bronchitis,managed_by,Infectious Disease Specialist,specialist
Nitroglycerin,prescribed_by,Neurologist,specialist
Hypertension,treated_by,Insulin,treatment
Arthritis,associated_with,COVID-19,disease
Angina,managed_by,Pulmonologist,specialist
Hypertension,associated_with,Hypertension,disease
Hypertension,causes,Cough,symptom
Tuberculosis,causes,Headache,symptom
Asthma,causes,Sore Throat,symptom
Pneumonia,diagnosed_by,Blood Test,diagnostic_test
Tuberculosis,causes,Nausea,symptom
NSAIDs,prescribed_by,General Practitioner,specialist
Eye Drops,prescribed_by,Endocrinologist,specialist
Pain Relievers,prescribed_by,Endocrinologist,specialist
Pneumonia,diagnosed_by,ECG,diagnostic_test
Migraine,causes,Rash,symptom
Arthritis,diagnosed_by,MRI,diagnostic_test
Angina,causes,Nausea,symptom
Influenza,associated_with,Diabetes,disease
Corticosteroids,prescribed_by,Pulmonologist,specialist
COVID-19,diagnosed_by,MRI,diagnostic_test
Conjunctivitis,diagnosed_by,Blood Test,diagnostic_test
Beta Blockers,prescribed_by,Ophthalmologist,specialist
Migraine,managed_by,Dermatologist,specialist
Influenza,diagnosed_by,ECG,diagnostic_test
Fever,indicates,Tuberculosis,disease
Influenza,causes,Cough,symptom
COVID-19,managed_by,Dermatologist,specialist
Hypertension,associated_with,Arthritis,disease
COVID-19,treated_by,Insulin,treatment
Angina,treated_by,Inhalers,treatment
Joint Pain,indicates,Influenza,disease
Angina,causes,Chest Pain,symptom
Influenza,causes,Sore Throat,symptom
Migraine,treated_by,Corticosteroids,treatment
Arthritis,diagnosed_by,X-Ray,diagnostic_test
Cough,indicates,Diabetes,disease
COVID-19,associated_with,Hypertension,disease
Arthritis,diagnosed_by,Urinalysis,diagnostic_test
Hypertension,diagnosed_by,CT Scan,diagnostic_test
Influenza,diagnosed_by,ECG,diagnostic_test
Angina,associated_with,Angina,disease
Diabetes,associated_with,Conjunctivitis,disease
Tuberculosis,diagnosed_by,ECG,diagnostic_test
Dizziness,indicates,Hypertension,disease
Pneumonia,treated_by,IV Fluids,treatment
Pneumonia,diagnosed_by,Urinalysis,diagnostic_test
Asthma,associated_with,Hypertension,disease
Influenza,diagnosed_by,MRI,diagnostic_test
Pneumonia,associated_with,Angina,disease
Hypertension,causes,Rash,symptom
Migraine,associated_with,Bronchitis,disease
Fever,indicates,Arthritis,disease
Cough,indicates,COVID-19,disease
Arthritis,treated_by,IV Fluids,treatment
Pneumonia,managed_by,Ophthalmologist,specialist
Conjunctivitis,causes,Headache,symptom
Inhalers,prescribed_by,Infectious Disease Specialist,specialist
Fever,indicates,Diabetes,disease
Influenza,managed_by,Pulmonologist,specialist
Asthma,managed_by,Endocrinologist,specialist
Fatigue,indicates,Migraine,disease
Tuberculosis,treated_by,Antivirals,treatment
Bronchitis,managed_by,Pulmonologist,specialist
COVID-19,causes,Cough,symptom
Beta Blockers,prescribed_by,Neurologist,specialist
Bronchitis,diagnosed_by,Blood Test,diagnostic_test
Hypertension,diagnosed_by,MRI,diagnostic_test
Angina,associated_with,Pneumonia,disease
Migraine,associated_with,Hypertension,disease
Corticosteroids,prescribed_by,Neurologist,specialist
COVID-19,causes,Joint Pain,symptom
Chest Pain,indicates,Tuberculosis,disease
Pneumonia,treated_by,Beta Blockers,treatment
Antibiotics,prescribed_by,Pulmonologist,specialist
Influenza,causes,Fever,symptom
Diabetes,associated_with,COVID-19,disease
Beta Blockers,prescribed_by,Cardiologist,specialist
Influenza,treated_by,Antivirals,treatment
Angina,causes,Chest Pain,symptom
Hypertension,treated_by,Corticosteroids,treatment
Diabetes,managed_by,Neurologist,specialist
COVID-19,treated_by,Eye Drops,treatment
Migraine,diagnosed_by,ECG,diagnostic_test
Fatigue,indicates,Asthma,disease
Pneumonia,diagnosed_by,ECG,diagnostic_test
Pain Relievers,prescribed_by,Neurologist,specialist
Joint Pain,indicates,Influenza,disease
Conjunctivitis,treated_by,Antibiotics,treatment
Migraine,diagnosed_by,X-Ray,diagnostic_test
Angina,causes,Rash,symptom
Hypertension,managed_by,Dermatologist,specialist
Bronchitis,causes,Sore Throat,symptom
Pneumonia,associated_with,COVID-19,disease
IV Fluids,prescribed_by,Infectious Disease Specialist,specialist
Diabetes,treated_by,Corticosteroids,treatment
Antibiotics,prescribed_by,Dermatologist,specialist
Tuberculosis,associated_with,COVID-19,disease
Inhalers,prescribed_by,Dermatologist,specialist
Hypertension,causes,Nausea,symptom
Conjunctivitis,causes,Rash,symptom
Conjunctivitis,diagnosed_by,MRI,diagnostic_test
Asthma,diagnosed_by,ECG,diagnostic_test
Pneumonia,causes,Cough,symptom
Pneumonia,diagnosed_by,X-Ray,diagnostic_test
Pneumonia,diagnosed_by,CT Scan,diagnostic_test
Migraine,managed_by,Rheumatologist,specialist
Influenza,managed_by,Rheumatologist,specialist
Pneumonia,treated_by,Insulin,treatment
Fatigue,indicates,Angina,disease
Antivirals,prescribed_by,Cardiologist,specialist
Tuberculosis,diagnosed_by,Urinalysis,diagnostic_test
Conjunctivitis,associated_with,Angina,disease
Influenza,associated_with,Angina,disease
Influenza,associated_with,Bronchitis,disease
Tuberculosis,associated_with,Asthma,disease
Insulin,prescribed_by,Endocrinologist,specialist
Fever,indicates,Arthritis,disease
Hypertension,treated_by,Antivirals,treatment
Migraine,diagnosed_by,MRI,diagnostic_test
Pain Relievers,prescribed_by,Neurologist,specialist
Influenza,treated_by,Insulin,treatment
Hypertension,associated_with,Asthma,disease
Migraine,managed_by,Neurologist,specialist
Influenza,diagnosed_by,Blood Test,diagnostic_test
Arthritis,associated_with,Asthma,disease
Hypertension,treated_by,ACE Inhibitors,treatment
Angina,diagnosed_by,Urinalysis,diagnostic_test
Tuberculosis,associated_with,Bronchitis,disease
Asthma,managed_by,Endocrinologist,specialist
Bronchitis,causes,Sore Throat,symptom
COVID-19,managed_by,Ophthalmologist,specialist
NSAIDs,prescribed_by,Dermatologist,specialist
Arthritis,treated_by,Beta Blockers,treatment
Corticosteroids,prescribed_by,Dermatologist,specialist
Tuberculosis,causes,Fever,symptom
Pneumonia,managed_by,Pulmonologist,specialist
Fatigue,indicates,COVID-19,disease
Pneumonia,associated_with,Asthma,disease
Bronchitis,diagnosed_by,MRI,diagnostic_test
Angina,diagnosed_by,MRI,diagnostic_test
Blurred Vision,indicates,COVID-19,disease
Asthma,diagnosed_by,Urinalysis,diagnostic_test
Arthritis,diagnosed_by,Blood Test,diagnostic_test
Diabetes,causes,Cough,symptom
Influenza,diagnosed_by,CT Scan,diagnostic_test
Fatigue,indicates,Bronchitis,disease
Bronchitis,diagnosed_by,ECG,diagnostic_test
COVID-19,causes,Nausea,symptom
Angina,managed_by,Ophthalmologist,specialist
Pneumonia,associated_with,Arthritis,disease
Antibiotics,prescribed_by,Cardiologist,specialist
Dizziness,indicates,Tuberculosis,disease
Fever,indicates,Influenza,disease
Arthritis,treated_by,Corticosteroids,treatment
Tuberculosis,diagnosed_by,ECG,diagnostic_test
Pneumonia,treated_by,Pain Relievers,treatment
Migraine,treated_by,Eye Drops,treatment
Hypertension,diagnosed_by,Urinalysis,diagnostic_test
Hypertension,associated_with,Migraine,disease
Diabetes,causes,Rash,symptom
Pneumonia,causes,Blurred Vision,symptom
Asthma,managed_by,Infectious Disease Specialist,specialist
Angina,diagnosed_by,X-Ray,diagnostic_test
Chest Pain,indicates,Asthma,disease
Beta Blockers,prescribed_by,Cardiologist,specialist
Arthritis,treated_by,ACE Inhibitors,treatment
Fever,indicates,Angina,disease
Bronchitis,managed_by,General Practitioner,specialist
Influenza,causes,Fatigue,symptom
Pneumonia,associated_with,Angina,disease
COVID-19,treated_by,Antibiotics,treatment
Tuberculosis,treated_by,Corticosteroids,treatment
Insulin,prescribed_by,Infectious Disease Specialist,specialist
Eye Drops,prescribed_by,Infectious Disease Specialist,specialist
Asthma,associated_with,Diabetes,disease
Tuberculosis,associated_with,Conjunctivitis,disease
Tuberculosis,treated_by,Inhalers,treatment
Conjunctivitis,treated_by,Nitroglycerin,treatment
Inhalers,prescribed_by,General Practitioner,specialist
Rash,indicates,Arthritis,disease
Asthma,diagnosed_by,X-Ray,diagnostic_test
Conjunctivitis,managed_by,Neurologist,specialist
Arthritis,causes,Fever,symptom
Influenza,diagnosed_by,ECG,diagnostic_test
Antivirals,prescribed_by,Cardiologist,specialist
Influenza,associated_with,Tuberculosis,disease
Corticosteroids,prescribed_by,Cardiologist,specialist
Diabetes,associated_with,Angina,disease
Pneumonia,diagnosed_by,ECG,diagnostic_test
Bronchitis,diagnosed_by,Urinalysis,diagnostic_test
Angina,treated_by,Antibiotics,treatment
Angina,associated_with,Bronchitis,disease
COVID-19,treated_by,Inhalers,treatment
Conjunctivitis,diagnosed_by,Blood Test,diagnostic_test
Arthritis,diagnosed_by,MRI,diagnostic_test
Conjunctivitis,causes,Chest Pain,symptom
Hypertension,causes,Cough,symptom
Migraine,diagnosed_by,CT Scan,diagnostic_test
Antivirals,prescribed_by,Rheumatologist,specialist
Joint Pain,indicates,Influenza,disease
Migraine,causes,Fever,symptom
Arthritis,treated_by,Pain Relievers,treatment
COVID-19,treated_by,Corticosteroids,treatment
Hypertension,causes,Joint Pain,symptom
Hypertension,associated_with,Influenza,disease
Fever,indicates,Conjunctivitis,disease
Antibiotics,prescribed_by,Ophthalmologist,specialist
Diabetes,treated_by,Eye Drops,treatment
Bronchitis,diagnosed_by,X-Ray,diagnostic_test
Influenza,diagnosed_by,Blood Test,diagnostic_test
Influenza,associated_with,Bronchitis,disease
Angina,managed_by,General Practitioner,specialist
Asthma,associated_with,Hypertension,disease
Conjunctivitis,managed_by,Infectious Disease Specialist,specialist
Influenza,diagnosed_by,X-Ray,diagnostic_test
Influenza,treated_by,Inhalers,treatment
Diabetes,causes,Chest Pain,symptom
NSAIDs,prescribed_by,General Practitioner,specialist
Influenza,causes,Nausea,symptom
Joint Pain,indicates,Migraine,disease
Tuberculosis,managed_by,Pulmonologist,specialist
Asthma,treated_by,Inhalers,treatment
Angina,treated_by,Antibiotics,treatment
Inhalers,prescribed_by,Rheumatologist,specialist
Pneumonia,associated_with,Migraine,disease
Joint Pain,indicates,Asthma,disease
Migraine,diagnosed_by,MRI,diagnostic_test
Hypertension,causes,Fever,symptom
Bronchitis,associated_with,Tuberculosis,disease
Angina,associated_with,Asthma,disease
Shortness of Breath,indicates,Hypertension,disease
Nitroglycerin,prescribed_by,Dermatologist,specialist
Nitroglycerin,prescribed_by,Pulmonologist,specialist
Fever,indicates,Conjunctivitis,disease
COVID-19,managed_by,Pulmonologist,specialist
Shortness of Breath,indicates,Migraine,disease
COVID-19,diagnosed_by,X-Ray,diagnostic_test
Pain Relievers,prescribed_by,General Practitioner,specialist
Diabetes,diagnosed_by,Urinalysis,diagnostic_test
Bronchitis,managed_by,General Practitioner,specialist
Angina,diagnosed_by,Urinalysis,diagnostic_test
COVID-19,diagnosed_by,CT Scan,diagnostic_test
Corticosteroids,prescribed_by,Endocrinologist,specialist
Asthma,managed_by,Cardiologist,specialist
Pneumonia,causes,Blurred Vision,symptom
Tuberculosis,managed_by,Dermatologist,specialist
Chest Pain,indicates,Bronchitis,disease
Eye Drops,prescribed_by,Dermatologist,specialist
Angina,associated_with,Bronchitis,disease
Conjunctivitis,associated_with,Asthma,disease
Rash,indicates,Bronchitis,disease
Influenza,associated_with,COVID-19,disease
Fever,indicates,Hypertension,disease
Angina,diagnosed_by,Blood Test,diagnostic_test
Nausea,indicates,Tuberculosis,disease
Diabetes,diagnosed_by,CT Scan,diagnostic_test
Dizziness,indicates,Arthritis,disease
Tuberculosis,managed_by,Cardiologist,specialist
COVID-19,diagnosed_by,Urinalysis,diagnostic_test
Tuberculosis,associated_with,Influenza,disease
IV Fluids,prescribed_by,Ophthalmologist,specialist
Fever,indicates,Angina,disease
Inhalers,prescribed_by,Infectious Disease Specialist,specialist
Pneumonia,associated_with,Pneumonia,disease
Hypertension,associated_with,Diabetes,disease
Asthma,treated_by,ACE Inhibitors,treatment
Pneumonia,treated_by,Inhalers,treatment
COVID-19,associated_with,COVID-19,disease
Arthritis,managed_by,Dermatologist,specialist
Bronchitis,treated_by,Pain Relievers,treatment
Inhalers,prescribed_by,Dermatologist,specialist
COVID-19,diagnosed_by,CT Scan,diagnostic_test
Chest Pain,indicates,Influenza,disease
Angina,associated_with,Asthma,disease
Nausea,indicates,Asthma,disease
Bronchitis,diagnosed_by,Blood Test,diagnostic_test
Bronchitis,associated_with,COVID-19,disease
Hypertension,treated_by,Pain Relievers,treatment
COVID-19,associated_with,Influenza,disease
Conjunctivitis,diagnosed_by,CT Scan,diagnostic_test
Pneumonia,diagnosed_by,ECG,diagnostic_test
Antibiotics,prescribed_by,General Practitioner,specialist
Hypertension,diagnosed_by,MRI,diagnostic_test
Fatigue,indicates,Conjunctivitis,disease
Diabetes,associated_with,Asthma,disease
Bronchitis,associated_with,Asthma,disease
Fever,indicates,Hypertension,disease
Pneumonia,associated_with,Angina,disease
Arthritis,causes,Fever,symptom
Arthritis,causes,Chest Pain,symptom
Tuberculosis,associated_with,Influenza,disease
IV Fluids,prescribed_by,Pulmonologist,specialist
Migraine,causes,Rash,symptom
Beta Blockers,prescribed_by,Pulmonologist,specialist
Tuberculosis,associated_with,Pneumonia,disease
Migraine,treated_by,Beta Blockers,treatment
COVID-19,causes,Cough,symptom
Tuberculosis,diagnosed_by,CT Scan,diagnostic_test
Fatigue,indicates,Influenza,disease
Fever,indicates,Influenza,disease
Hypertension,associated_with,COVID-19,disease
Migraine,diagnosed_by,Blood Test,diagnostic_test
Bronchitis,treated_by,Antibiotics,treatment
Hypertension,associated_with,Arthritis,disease
Conjunctivitis,causes,Joint Pain,symptom
Beta Blockers,prescribed_by,Neurologist,specialist
Corticosteroids,prescribed_by,Neurologist,specialist
Tuberculosis,diagnosed_by,Blood Test,diagnostic_test
Pneumonia,associated_with,Bronchitis,disease
Tuberculosis,treated_by,Inhalers,treatment
Asthma,treated_by,Antibiotics,treatment
Migraine,treated_by,Inhalers,treatment
Shortness of Breath,indicates,Pneumonia,disease
Pneumonia,treated_by,Pain Relievers,treatment
Eye Drops,prescribed_by,Endocrinologist,specialist
COVID-19,associated_with,Pneumonia,disease
Tuberculosis,associated_with,Tuberculosis,disease
Bronchitis,managed_by,Dermatologist,specialist
Headache,indicates,Migraine,disease
Bronchitis,causes,Sore Throat,symptom
Antivirals,prescribed_by,General Practitioner,specialist
Conjunctivitis,managed_by,Endocrinologist,specialist
Diabetes,associated_with,COVID-19,disease
Influenza,diagnosed_by,CT Scan,diagnostic_test
Bronchitis,associated_with,Bronchitis,disease
Conjunctivitis,causes,Blurred Vision,symptom
Migraine,managed_by,General Practitioner,specialist
COVID-19,causes,Blurred Vision,symptom
Influenza,managed_by,General Practitioner,specialist
Hypertension,causes,Shortness of Breath,symptom
Inhalers,prescribed_by,Ophthalmologist,specialist
Conjunctivitis,associated_with,Pneumonia,disease
Arthritis,diagnosed_by,Urinalysis,diagnostic_test
COVID-19,causes,Rash,symptom
Dizziness,indicates,Diabetes,disease
Hypertension,causes,Shortness of Breath,symptom
Tuberculosis,managed_by,Pulmonologist,specialist
Asthma,causes,Chest Pain,symptom
Pneumonia,managed_by,Cardiologist,specialist
Arthritis,treated_by,Insulin,treatment
Influenza,treated_by,Nitroglycerin,treatment
Pneumonia,managed_by,Infectious Disease Specialist,specialist
Beta Blockers,prescribed_by,Rheumatologist,specialist
Insulin,prescribed_by,Ophthalmologist,specialist
Migraine,causes,Fever,symptom
Influenza,causes,Fever,symptom
Hypertension,causes,Chest Pain,symptom
Beta Blockers,prescribed_by,Pulmonologist,specialist
Antibiotics,prescribed_by,Dermatologist,specialist
Hypertension,treated_by,Beta Blockers,treatment
Dizziness,indicates,Diabetes,disease
ACE Inhibitors,prescribed_by,Neurologist,specialist
Conjunctivitis,causes,Cough,symptom
Pain Relievers,prescribed_by,General Practitioner,specialist
Fatigue,indicates,COVID-19,disease
COVID-19,managed_by,Endocrinologist,specialist
Angina,diagnosed_by,ECG,diagnostic_test
Arthritis,diagnosed_by,X-Ray,diagnostic_test
Antivirals,prescribed_by,Neurologist,specialist
Migraine,associated_with,COVID-19,disease
IV Fluids,prescribed_by,Rheumatologist,specialist
Migraine,causes,Blurred Vision,symptom
Bronchitis,causes,Joint Pain,symptom
Migraine,diagnosed_by,CT Scan,diagnostic_test
IV Fluids,prescribed_by,Pulmonologist,specialist
Angina,diagnosed_by,Urinalysis,diagnostic_test
Angina,diagnosed_by,X-Ray,diagnostic_test
Conjunctivitis,diagnosed_by,MRI,diagnostic_test
Influenza,managed_by,Dermatologist,specialist
Hypertension,associated_with,COVID-19,disease
